id;name;information;price;category_id;origin_id;img
11;Eggette;An egg waffle is a spherical egg-based waffle popular in Asia, and is an eggy leavened batter cooked between two plates of semi-spherical cells. They are usually served hot, and often eaten plain, although they may be served with fruit and flavors such as strawberry, coconut or chocolate.[2] ;0.60 €;3;9;https://en.wikipedia.org/wiki/Egg_waffle#/media/File:Egg_Waffle_again.JPG
12;Borlengo;A borlengo (plural: borlenghi), also called a burlengo or zampanelle, is a thin flatbread now made with water, eggs (sometimes omitted) flour and salt. Originally a food eaten by the poor and made with flour and water, it is now often made outside in a frying pan the size of a cartwheel.;4.00 €;3;2;https://en.wikipedia.org/wiki/Borlengo#/media/File:Borlengo_lardo.jpg
13;Crêpe;A crêpe or crepe (/kreɪp/ (About this soundlisten) or /krɛp/, French: [kʁɛp] (About this soundlisten), Quebec French: [kʁaɪ̯p] (About this soundlisten)) is a type of very thin pancake. Crêpes are usually of two types: sweet crêpes (crêpes sucrées) and savoury galettes (crêpes salées). Crêpes are served with a variety of fillings, from the simplest with only sugar to flambéed crêpes Suzette or elaborate savoury galettes.;5.00 €;3;7;https://en.wikipedia.org/wiki/Cr%C3%AApe#/media/File:Crepes_dsc07085.jpg
14;Speckendick;A rye pancake made between two iron plates, filled with lard or bacon, dried sausage and a little syrup.;3.30 €;3;10;https://en.wikipedia.org/wiki/List_of_breads#/media/File:Spekdikken.jpg
15;Brown bread;Brown bread is a designation often given to breads made with significant amounts of whole grain flour, usually wheat, and sometimes dark-colored ingredients such as molasses or coffee. ;2.50 €;4;11;https://en.wikipedia.org/wiki/Brown_bread#/media/File:Kommissbrot.jpg
16;Pumpernickel;"Pumpernickel (English: /ˈpʌmpərnɪkəl/; German: [ˈpʊmpɐˌnɪkl̩]) is a typically heavy, slightly sweet rye bread traditionally made with sourdough starter and coarsely ground rye. It is often made today with a combination of rye flour and whole rye grains.";3.50 €;4;10;https://en.wikipedia.org/wiki/List_of_breads#/media/File:Pumpernickel.jpg
17;Röggelchen;Röggelchen (of German Roggen for rye) is a small pastry in the form of a double roll made from two pieces of dough. Röggelchen are a common speciality in the Rhineland and in eastern Belgium.;2.20 €;4;12;https://en.wikipedia.org/wiki/R%C3%B6ggelchen#/media/File:2018-01-04-R%C3%B6ggelchen-5767.jpg
18;Banana bread;"Banana bread is a type of bread made from mashed bananas. It is often a moist, sweet, cake-like quick bread; however there are some banana bread recipes that are traditional-style raised breads.";3.40 €;5;5;https://en.wikipedia.org/wiki/Banana_bread#/media/File:Banana_bread_078.jpg
19;Dampfnudel;"Dampfnudel (plural Dampfnudeln, lit. ""steam-noodle""; Alsatian: Dampfnüdel) is a sort of white bread roll or sweet roll eaten as a meal or as a dessert in Germany, Austria and in France (Alsace). It is a typical dish in southern Germany.";3.50 €;5;10;https://en.wikipedia.org/wiki/List_of_breads#/media/File:CDampfnudelnWP6.jpg
20;Panettone;"Panettone (pronounced /ˌpænɪˈtoʊni/; Italian pronunciation: [panetˈtoːne]) is an Italian type of sweet bread originally from Milan (in the local Milanese dialect it is called panetton, pronounced [paneˈtũː]), usually prepared and enjoyed for Christmas and New Year.";2.00 €;5;2;https://en.wikipedia.org/wiki/Panettone#/media/File:Panettone_-_Nicolettone_2017_-_IMG_7085_(31752542285).jpg
